starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
28.133,170.4,217.24,1.3666,6.9019,2796.1,66.374,168.94,322.19,31.396,30.21,231.34,246.32,246.76,245.53,246.32,246.34,173.25,64.53,11.099,162.24,49.942,19.2
28.533,169.82,217.24,1.3666,6.9795,2809.6,64.776,170.43,326.15,40.888,30.193,230.76,244.77,243.82,245.16,244.71,244.46,173.88,62.125,11.094,163.03,50.863,19.099
28.201,166.49,217,1.4571,6.9795,2809.4,37.55,170.67,325.06,29.641,21.041,202.92,217.84,219.24,218.01,217.93,217.39,170.63,43.201,10.839,160.78,50.243,19.355
27.977,172.23,217.53,1.4777,7.001,2809.4,58.555,169.24,325.06,32.489,23.261,203.32,218.31,217.82,217.71,218.27,218.38,171.5,55.74,10.865,163.96,49.99,19.055
28.034,171.58,219.91,1.3364,6.986,2820.7,64.276,169.17,331.88,32.489,25.61,209.03,224.32,224.78,224.15,223.96,224.25,171.5,60.125,10.974,164.09,49.931,19.015
28.073,171.08,220.14,1.3813,7.0593,2816.7,68.987,168.52,321.87,39.503,25.745,214,228.43,228.6,228.46,228.57,228.77,171.38,65.375,10.949,163.62,50.254,19.098
28.44,169.97,219.96,1.3813,6.9241,2800,75.201,168.5,328.07,39.503,29.289,219.1,235.16,235.36,234.67,235.37,235.05,171.95,72.071,10.967,165.09,50.505,19.291
28.221,170.59,219.52,1.3813,6.878,2805.8,82.08,169.84,328,40.998,31.553,226.62,242.15,241.92,241.62,241.74,241.56,172.35,77.25,11.037,162.01,50.582,19.251
28.478,171.45,218.85,1.3813,6.9753,2808.4,79.492,170.32,327.26,37.334,28.881,223.83,239.59,239.45,238.56,239.16,238.79,172.55,75.486,10.996,163.79,50.858,19.124
28.377,171.3,219.1,1.3813,6.9242,2798.7,77.4,170.01,328.21,37.334,30.095,221.81,237.14,237.31,236.68,237.43,237.15,172.55,74,11.054,163.54,50.649,18.965
28.379,171.05,218.44,1.3813,6.9308,2804.4,81.623,168.32,325.23,37.074,29.499,227.15,242.05,242,242.09,242.09,242.35,174.22,77.875,11.099,163.42,50.643,19.05
28.425,169.51,218.11,1.3813,6.9308,2792.4,83.506,170.63,324.88,38.465,29.124,226.69,242.42,242.8,241.5,241.88,242.22,173.75,77.25,11.088,163.01,50.643,19.077
